名称	域名	IPv4	IPv6	公钥
US-FREE#995041	node-us-150.protonvpn.net	37.19.221.197	2a02:6ea0:e00a:2235::10	mqoQwexGzvYJ63u35PJukMOleZXRLLkfQKODwm3NPB4=
US-FREE#958014	node-us-70.protonvpn.net	89.187.170.159	2a02:6ea0:c118::20	TvxKuL2rnvUxQ4vv48bwU+xyBAabV5yHnedFsP95C2s=
US-FREE#918003	node-us-60.protonvpn.net	195.181.163.1	2a02:6ea0:cc09::10	bOz7aS+OtfmIiGLlQmnHrWb+wzw5qFp6PKdWPRlVORc=
US-FREE#913042	node-us-151.protonvpn.net	37.19.221.194	2a02:6ea0:e00a:2236::10	lCe5Yp9TfM61w72G8bmtZJ0/LtpFtk6PrughQEHQiXs=
US-FREE#518043	node-us-152.protonvpn.net	37.19.221.195	2a02:6ea0:e00a:2238::10	spxrOrEyWRt2UIaiF8qcq6RTieQJv7BNK+8QVwFOMCI=
US-FREE#514015	node-us-136.protonvpn.net	37.19.200.22	2a02:6ea0:d213:2204::10	6viKMPw7x82HUJJbPTA08M3oY9U0SRDxpktohKENJTk=
US-FREE#459155	node-us-163.protonvpn.net	37.19.199.149	2a02:6ea0:c412:2409::10	5PtTH6ccK9HiiZQlmXDWbBBD7Uz4xO2pel3iVwYVwkA=
US-FREE#458008	node-us-131.protonvpn.net	156.146.54.81	2a02:6ea0:e606:2128::10	FF79Ab2fcEYtsyNYxviTUtVxJLuvUcoEOpl8DYbdsgg=
US-FREE#456016	node-us-137.protonvpn.net	37.19.200.17	2a02:6ea0:d213:2205::10	xMBFL2Ejufuk926qSqBqPCIi6a6BRs33QmX7jWcsBDg=
US-FREE#441019	node-us-140.protonvpn.net	37.19.199.129	2a02:6ea0:c412:2208::10	Cn4siWGToCqJJ0q6OXGb4+LyaUF+vES2Xd40e9sj/BI=
US-FREE#417154	node-us-162.protonvpn.net	138.199.52.193	2a02:6ea0:c412:2408::10	93rOlHiU4A7ACRTdqButvAjwrccdOgOIHwFMumODvgo=
US-FREE#416030	node-us-146.protonvpn.net	143.244.44.171	2a02:6ea0:c412:2215::10	F5CdZc20jQIpkcJAysZpRVZ88ZoZE/AeymAmhX+tkSU=
US-FREE#411002	node-us-72.protonvpn.net	89.187.185.161	2a02:6ea0:c822::10	ZEQHDxg/HbjznRvApyBWfUGs6T20Rvy0/DctZk6FvB4=
US-FREE#389006	node-us-133.protonvpn.net	37.19.200.1	2a02:6ea0:d213:2130::10	rGq20PYMbmMtneRHYaWMYPKd78GycNzbqN1z0AZj6lI=
US-FREE#388049	node-us-159.protonvpn.net	143.244.44.181	2a02:6ea0:c412:2354::10	QFE4bdNgpp+yfB6FzgcOn4taoW65WBYEh0nEebKk3Fs=
US-FREE#370018	node-us-139.protonvpn.net	138.199.50.98	2a02:6ea0:cc02:2207::10	6oVoeW2SF2qZpqanpOq+NPPLgmNXXjLNyDMpXjuNGyc=
US-FREE#365009	node-us-128.protonvpn.net	89.187.180.1	2a02:6ea0:c603:2127::10	o3BjGF2/GcEQiWoP89XgDfXFVlFFm7ipBFVQaOCR00k=
US-FREE#355056	node-us-193.protonvpn.net	146.70.202.82	2a0d:5600:24:48::10	xsY1U2tMfldRxNnIBF1nVaqXIWyRy0NbohZMnfRx42s=
US-FREE#338054	node-us-175.protonvpn.net	185.236.200.242	2a0d:5600:8:110::10	/w2ZK1nw2HLb7kJn1KSddcwcVepCmxvAo71A4HGYyWY=
US-FREE#324051	node-us-180.protonvpn.net	146.70.147.98	2a0d:5600:6:ad20::10	11ScmFnWCAFMI6tdc6/wO+P7biBc/5foA7WayNXxSG0=
US-FREE#311047	node-us-155.protonvpn.net	37.19.221.198	2a02:6ea0:e00a:2241::10	ksK3faRBQlFLul2FcKPphBR9LYR+6/FbP1etg0T2liA=
US-FREE#306053	node-us-170.protonvpn.net	146.70.174.66	2a0d:5600:8:105::10	N1o6VqzZtb0UCQvmkZGQj909M1sM3Xb787U0YNyODEw=
US-FREE#305057	node-us-196.protonvpn.net	146.70.202.34	2a0d:5600:24:3e::10	Y4jxn/IIoorfo/X99RZFU6HbL9WWn7ffGI5isYFU9lo=
US-FREE#294017	node-us-138.protonvpn.net	37.19.199.144	2a02:6ea0:c412:2206::10	8yLN4SAi/FbYK0ZG3/7YUvjSFxNqWvZXxxSiVydGVkg=
US-FREE#283011	node-us-73.protonvpn.net	195.181.162.163	2a02:6ea0:cc0b::10	FopxTTklZx2W9X1ua1rGHdn+w4F8KVwcBjVmqMFFbAI=
US-FREE#282040	node-us-149.protonvpn.net	37.19.221.193	2a02:6ea0:e00a:2233::10	WIeBbAgtnBInKKxUYyc9B+R1aqPlJSV5e6mq+xGgymc=
US-FREE#278031	node-us-147.protonvpn.net	143.244.44.176	2a02:6ea0:c412:2216::10	13HntkfJoGTUTtiGITUx/zKqjpY1QUfG1zmWb9Ptxhk=
US-FREE#273037	node-us-61.protonvpn.net	84.17.45.156	2a02:6ea0:c820::10	wh6moITNnZ8vb5sKb822coweXEjDeOmDMZoHxCNyOGY=
US-FREE#273021	node-us-142.protonvpn.net	37.19.199.139	2a02:6ea0:c412:2210::10	rlVvNuYLq3Rsfghyh3ILYLZMifyvlqbIIaUAUlvy2zs=
US-FREE#265046	node-us-156.protonvpn.net	89.187.180.55	2a02:6ea0:c603:2234::10	yB6ySO0kjqbgVWanDYKDgWoAMwM3X//nBiKXwaqmiwU=
